89, 16285 36018 112042 26659 43533 43840 42911 70228 71062 69391 79448 14706 99360
90, 1835 85344 77903 41419 74647
91, 118278 80577 118918
92, 39904 114136
93, 2693 79457 96558
94, 12920 127359 36422 3634 107131
95, 77561 69443 64585 39103
96, 31107 24403 67951 8048 25013 5900 24009
97, 41151 57099 44465 52753 88359
98, 65599 38051 116481 58622 30458 92773
99, 20436 62514 33825 75532
100, 104734 27080 93505 65282 68871
101, 40340
102, 100042 55306 45659 117073 13495 33729 115981 77658
103, 58400 48380 81479 4262 76940 100931 4365 125822 25966
104, 72831 20262 72515 72018
105, 95031 62191 108939 104443 36773
106, 2777 14416
107, 37373
108, 125402 48369 85503 116556 33219 84784 109453 124179 66767 119664 80793 112310 50126 73319 34521
109, 106969 90638
110, 126212 26538 15559
111, 73780
112, 47745 63219 25650 81835
113, 113187 9146 25648 75118 19411 10647
114, 14247 117391 51499 67294 101382 23408 74717
115, 92346 101323 105262 16587 93344 69120 79945 58705 55846 70193
116, 57186 5878 21108 107840 70588 49144
117, 55010
118, 52697
119, 18028 27490 73421 89688 50789
120, 80726 119724 93437
121, 44235 63092 68086 52954
122, 104080 68490 107365 114549
123, 58879 19474 94485 75647 29490
124, 119724 58511 85221
125, 53903 61039 116230 65222 45096 75141
126, 19744 58586 22321
127, 20028 79002 35640 86660 119162
128, 24703 100892 45494
129, 96807 97353 83217 40127 48689 25509 25537 95498 97568
130, 113604 99595
131, 6825 63957 14324 96282
132, 10033
133, 32308 90317 25570 77806 54472 93984 43996 35545 56197
134, 37449 36678 84459 61078 73691 112840
135, 1464 100977 83704 121343 92185
136, 110492 77656 84276 56177 24847 73777
137, 89111 29040 60481 35129
138, 4611 20064 9659 108713
139, 35931 74970 92259 13250 73264
140, 79068
141, 35595 13692 57695
142, 19263 64860 66557 337 6951 45439
143, 22258 56173 9716 73046 42211 125627 19396 52788 7647 38427 95285 125264 99008 92403 113215 69341
144, 83972 87567 75644 47156
145, 20969
146, 118163 52519 23129 73416
147, 78940 41654
148, 57572 13457 93003 20023 75135 27225 31023
149, 95354 44691 5637
150, 21755 79456 20319 44455 71290 1166 6614 67677 117112 4272 34957 84404 69686 44158 32088 16627 28313 127395 63694 624 124809 115398 34746 127926 77157 10871 98147
151, 21121 24306 5955 34023 71554 17414 21874 47279 8249 58347
152, 42504 73494 127879
153, 119577 36123 62736 123683 48446 110463 17928 12500 13319 109788 72926 9655 125060 106394 37219 53280 80062 75128 7165 81950 71058 3826 8855 61793 118821 15587 61373 19045 100209 2260 66969 43785 122062 29049 39043 36466 65146 88665 89157 99359 12857 58764 22653 61262 75923
154, 76541 36799 40958 37839 34697 84776 25229
155, 39528 22068 82842
156, 99247 28663 93611 81289 113916 50638 33232 82165 71066 86782
157, 86750 22389 109586 59147 97374 63544 106251
158, 16446
159, 71154 64962
160, 77130 645 94806 14000 90767 11470 65676 51880
161, 11413 64319 125447 23806
162, 58567 9241 122610 116226
163, 72994 44327 6148 112396
164, 108977 114969 52482 66728 48450 5014
165, 102093
166, 109409 70972 73790 70247 27066 88576 1885 112243
167, 96885 95458 12143 104547 21600 117483 120530 97721 17362 38261 3898 67144 113193 15322 71056 68928 3710 82294 99785 71100 8927 127332 7924 110293 78121 124282
168, 128252
169, 93053 34881 16038 62078 115990 90021 110181 34477 81054 83204 45503 26624 15588
170, 20651 8233 73876
171, 109829 50377 91241
172, 107628 6732 68310 33403 8009 62066
173, 7725 108723 109770 105333 92276 101670 50444 71081 85245 4112 13701
174, 106523 120026
175, 43441 25383 54519 94268 92870 4143 24893 100519 66098 13468 63448 93572 45563 4511 28542 32339
176, 53074 114409 4769 19025 7448 104798 45561 94355 100026 49375 47867 33681 14786 2840
177, 83888 81968 51970
178, 107126
